ObjectId	Longitude	Latitude	Name	Address_1	Address_2	City	State	Zip	9	10	11	County	Type		
	-81.606292	30.180486	EMERITUS ASSISTED LIVING ST AUG	10790 OLD ST AUGUSTINE RD		JACKSONVILLE	FL	32257				Duval	ASSISTED LIVING		
	-81.690519	30.312733	AUTUMN VILLAGE  ACLF	1103 BARRS ST		JACKSONVILLE	FL	32204				Duval	ASSISTED LIVING		
	-81.71556	30.310007	FL CHRISTIAN ACLF	1115 EDGEWOOD AVE S		JACKSONVILLE	FL	32205				Duval	ASSISTED LIVING		
	-81.600437	30.162773	RIVER GARDEN HEBREW HOME	11401 SAINT AUGUSTINE RD		JACKSONVILLE	FL	32258				Duval	ASSISTED LIVING		
	-81.678876	30.443061	JACKSONVILLE NURSING REHAB	11411 ARMSDALE RD		JACKSONVILLE	FL	32218				Duval	ASSISTED LIVING		
	-81.678876	30.44298	LAKESIDE NURSING & REHAB CTR	11411 ARMSDALE RD		JACKSONVILLE	FL	32218				Duval	ASSISTED LIVING		
	-81.658337	30.443138	HARTS HARBOR NURSING HOME	11565 HARTS RD		JACKSONVILLE	FL	32218				Duval	ASSISTED LIVING		
	-81.587656	30.466867	LANIER MANOR NURSING	12740 LANIER RD		JACKSONVILLE	FL	32226				Duval	ASSISTED LIVING		
	-81.78136	30.290365	WEST JAX NURSING & REHAB CENTER	1650 FOURAKER RD		JACKSONVILLE	FL	32221				Duval	ASSISTED LIVING		
	-81.687558	30.309217	ST CATHERINES LABARETTE	1750 STOCKTON ST		JACKSONVILLE	FL	32204				Duval	ASSISTED LIVING		
	-81.686447	30.386746	EDGEWOOD NURSING HOME	1771 EDGEWOOD AVE W		JACKSONVILLE	FL	32208				Duval	ASSISTED LIVING		
	-81.681967	30.313703	RIVERSIDE PRES  ACLF	2020 PARK ST		JACKSONVILLE	FL	32204				Duval	ASSISTED LIVING		
	-81.745607	30.280191	SIGNATURE HEALTHCARE	2061 HYDE PARK RD		JACKSONVILLE	FL	32210				Duval	ASSISTED LIVING		
	-81.614679	30.301709	LIBERTY APTS	2203 ART MUSEUM DR		JACKSONVILLE	FL	32207				Duval	ASSISTED LIVING		
	-81.590884	30.274253	RIVERWOOD CENTER NURSING HOME	2802 PARENTAL HOME RD		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.634419	30.298937	CHILDRENS HOME	3027 SAN DIEGO RD		JACKSONVILLE	FL	32207				Duval	ASSISTED LIVING		
	-81.707888	30.427568	LAUREL OAKS ASSISTED LIVING	3809 CAPPER RD		JACKSONVILLE	FL	32218				Duval	ASSISTED LIVING		
	-81.61345	30.202003	PSI MANDARIN	3933 PRITMORE RD		JACKSONVILLE	FL	32257				Duval	ASSISTED LIVING		
	-81.621052	30.28588	TAYLOR HOME ACLF	3937 SPRING PARK RD		JACKSONVILLE	FL	32207				Duval	ASSISTED LIVING		
	-81.7139	30.438469	JAX REHAB NURSING HM CENTER	4134 DUNN AVE		JACKSONVILLE	FL	32218				Duval	ASSISTED LIVING		
	-81.587774	30.252766	SOUTHPOINT TERRACE	4325 SOUTHPOINT BLVD		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.454781	30.255194	CYPRESS VILLAGE ACLF	4600 MIDDLETON PARK CIR E		JACKSONVILLE	FL	32224				Duval	ASSISTED LIVING		
	-81.598532	30.249881	LIFE CARE CENTER LENIOR	4813 LENOIR AVE		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.686142	30.371457	SUMMER BROOK HEALTH CENTER	5377 MONCRIEF RD		JACKSONVILLE	FL	32209				Duval	ASSISTED LIVING		
	-81.608684	30.26678	PALM GARDEN NURSING	5725 SPRING PARK RD		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.605008	30.274662	MOUNT CARMEL GARDENS	5846 MT CARMEL TER		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.742225	30.242154	ALL SAINTS NURSING HOME	5888 BLANDING BLVD		JACKSONVILLE	FL	32244				Duval	ASSISTED LIVING		
	-81.601451	30.277375	SUMMER GLEN APARTMENTS	6090 TERRY RD		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.751768	30.282015	SAN JUAN ASSISTED LIVING	6561 SAN JUAN AVE		JACKSONVILLE	FL	32210				Duval	ASSISTED LIVING		
	-81.621823	30.257521	TAYLOR MANOR ACLF	6605 CHESTER AVE		JACKSONVILLE	FL	32217				Duval	ASSISTED LIVING		
	-81.588574	30.325527	HARBOR HOUSE	681 MICKLER RD		JACKSONVILLE	FL	32211				Duval	ASSISTED LIVING		
	-81.582869	30.257096	EMERITUS ASSISTED LIVING BELFORT	6895 BELFORT OAKS PL		JACKSONVILLE	FL	32216				Duval	ASSISTED LIVING		
	-81.762098	30.279258	WILEY RETIREMENT HOME	7024 WILEY RD		JACKSONVILLE	FL	32210				Duval	ASSISTED LIVING		
	-81.681522	30.317952	PARK RIDGE NURSING & REHAB	730 COLLEGE ST		JACKSONVILLE	FL	32204				Duval	ASSISTED LIVING		
	-81.57919	30.248873	DEERWOOD PLACE ASSISTED LIVING	8700 A C SKINNER PKWY		JACKSONVILLE	FL	32256				Duval	ASSISTED LIVING		
	-81.552193	30.243556	REGENTS PARK	8700 A C SKINNER PKWY		JACKSONVILLE	FL	32256				Duval	ASSISTED LIVING		
	-81.550499	30.359536	FORT CAROLINE GARDENS	9150 FORT CAROLINE RD		JACKSONVILLE	FL	32225				Duval	ASSISTED LIVING		
	-81.617195	30.205704	SAN JOSE HEALTH & REHAB	9355 SAN JOSE BLVD		JACKSONVILLE	FL	32257				Duval	ASSISTED LIVING		
	-81.557296	30.236111	CARRIAGE CLUB  ACLF	9601 SOUTHBROOK DR		JACKSONVILLE	FL	32256				Duval	ASSISTED LIVING		
	-81.541827	30.331048	ATRIUM WAY ASSISTED LIVING	9960 ATRIUM WAY		JACKSONVILLE	FL	32225				Duval	ASSISTED LIVING		
	-81.703755	30.448721	COMMUNITY FIRST CREDIT UNION LEM TURNER	11907 LEM TURNER RD		JACKSONVILLE	FL	32218				Duval	BANK		
	-81.670756	30.429815	JAX FEDERAL CREDIT UNION DUNN	1440 DUNN AVE		JACKSONVILLE	FL	32218				Duval	BANK		
	-81.654251	30.343071	WELLS FARGO N MAIN	1601 MAIN ST N		JACKSONVILLE	FL	32206				Duval	BANK		
	-81.6834	30.388525	FIRST COMMUNITY CREDIT UNION	1623 EDGEWOOD AVE W		JACKSONVILLE	FL	32208				Duval	BANK		
	-81.642527	30.260874	COMMUNITY FIRST CREDIT UNION UNIVERSITY	1670 UNIVERSITY BLVD W		JACKSONVILLE	FL	32217				Duval	BANK		
	-81.489236	30.315343	VYSTAR KERNAN	1802 S KERNAN BLVD		JACKSONVILLE	FL	32246				Duval	BANK		
	-81.674835	30.434394	VYSTAR DUNN	1831 DUNN AVE		JACKSONVILLE	FL	32218				Duval	BANK		
	-81.65828	30.325202	COMPASS BANK INDEPENDENT	2 INDEPENDENT DR		JACKSONVILLE	FL	32202				Duval	BANK		
	-81.660075	30.32869	VYSTAR N HOGAN ST	214 N HOGAN STREET		JACKSONVILLE	FL	32202				Duval	BANK		
	-81.546938	30.326262	COMPASS BANK MONUMENT	299 MONUMENT RD		JACKSONVILLE	FL	32225				Duval	BANK		
	-81.661398	30.328584	121 FINANCIAL W ADAMS	300 W ADAMS ST		JACKSONVILLE	FL	32202				Duval	BANK		
	-81.706303	30.322694	FIRST COAST CREDIT UNION	3040 EDISON AVE		JACKSONVILLE	FL	32254				Duval	BANK		
	-81.626446	30.261025	BANK OF AMERICA UNIVERSITY	3535 UNIVERSITY BLVD W		JACKSONVILLE	FL	32217				Duval	BANK		
	-81.606582	30.363224	COMPASS BANK UNIVERSITY	3560 UNIVERSITY BLVD N		JACKSONVILLE	FL	32277				Duval	BANK		
	-81.602324	30.288679	WELLS FARGO UNIVERSITY	3627 UNIVERSITY BLVD S		JACKSONVILLE	FL	32216				Duval	BANK		
	-81.726959	30.320925	WELLS FARGO EDGEWOOD	380 EDGEWOOD AVE S		JACKSONVILLE	FL	32254				Duval	BANK		
	-81.713613	30.282204	WELLS FARGO SAN JUAN	4206 SAN JUAN AVE		JACKSONVILLE	FL	32210				Duval	BANK		
	-81.60328	30.26368	FIRST FLORIDA CREDIT UNION	4230 SOUTHPOINT PARKWAY		JACKSONVILLE	FL	32216				Duval	BANK		
	-81.720242	30.284022	REGIONS BANK ROOSEVELT	4297 ROOSEVELT BLVD		JACKSONVILLE	FL	32210				Duval	BANK		
	-81.739631	30.262831	WELLS FARGO BLANDING	4328 BLANDING BLVD		JACKSONVILLE	FL	32210				Duval	BANK		
	-81.717981	30.278039	VYSTAR WABASH	4420 WABASH AVE		JACKSONVILLE	FL	32210				Duval	BANK		
	-81.529021	30.257021	WELLS FARGO TOWN CENTER	4715 TOWN CENTER PKY		JACKSONVILLE	FL	32246				Duval	BANK		
	-81.743057	30.252468	VYSTAR BLANDING	4949 BLANDING BLVD		JACKSONVILLE	FL	32210				Duval	BANK		
	-81.659349	30.326942	BANK OF AMERICA LAURA ST	50 N LAURA ST		JACKSONVILLE	FL	32202				Duval	BANK		
	-81.675144	30.319591	EVERBANK RIVERSIDE	501 RIVERSIDE AVE		JACKSONVILLE	FL	32202				Duval	BANK		
	-81.664504	30.372271	HERITAGE CASH ADVANCE	5290 NORWOOD AVE		JACKSONVILLE	FL	32208				Duval	BANK		
