OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
877,33.767200675337165,-84.25120788210825,Covington Library Branch,3500 Covington Highway,,Decatur,GA,30032,,,,,
878,33.994785165416715,-83.90031458120666,Dacula Branch - Gwinnett Public Library System,265 Dacula Road,,Dacula,GA,30019,,,,,
879,33.774427657496005,-84.29455338458502,Decatur - Main Library DeKalb County Public Library,215 Sycamore Street,,Decatur,GA,30030,,,,,
880,33.64039870405662,-84.83086192960525,Dog River Public Library,6100 Georgia Highway 5,,Douglasville,GA,30135,,,,,
881,33.77440758759059,-84.44633936426658,Dogwood Library Branch,1838 Donald L Hollowell Parkway NW,,Atlanta,GA,30318,,,,,
882,33.901605643791925,-84.27831383357955,Doraville Library Branch,3748 Central Avenue,,Doraville,GA,30340,,,,,
883,33.74251935203574,-84.75288077173195,Douglas County Public Library,6810 Selman Drive,,Douglasville,GA,30134,,,,,
884,34.001262603759756,-84.15872636723418,Duluth Library Branch,3480 Duluth Park Lane,,Duluth,GA,30096,,,,,
885,33.94472229188574,-84.3326154645847,Dunwoody Library Branch,5339 Chamblee-Dunwoody Road,,Dunwoody,GA,30338,,,,,
886,33.74337071961327,-84.3484147311226,East Atlanta Library Branch,"400 Flat Shoals Avenue, S.E.",,Atlanta,GA,30316,,,,,
887,33.96604726660013,-84.4096219294982,East Cobb Library,4880 Lower Roswell Road; Suite 510,,Marietta,GA,30068,,,,,
888,33.94962901749341,-84.49240702883947,East Marietta Library Branch,2051 Lower Roswell Road,,Marietta,GA,30068,,,,,
889,33.68008811484708,-84.44027888469338,East Point Library Branch,2757 Main Street,,East Point,GA,30344,,,,,
890,33.843895991172246,-84.0131564883348,Elizabeth H. Williams Library Branch,2740 Lenora Church Road,,Snellville,GA,30078,,,,,
891,33.88342883934115,-84.24225367757361,Embry Hills Library Branch,3733 Chamblee-Tucker Road,,Chamblee,GA,30341,,,,,
892,33.56717464013269,-84.58535740766985,Fairburn Library Branch,60 Valley View Drive,,Fairburn,GA,30213,,,,,
893,33.60653203210444,-84.18577164679175,Fairview  Public Library,28 Austin Road,,Stockbridge,GA,30281,,,,,
894,33.447089345214636,-84.45730699942459,Fayette County Public Library,1821 Heritage Park Way,,Fayetteville,GA,30214,,,,,
